trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.4682543951760795, 'e': 0.5267861945730886}",20,0,-35.20605352621912,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.4634097851046265, 'e': 0.5213360082427041}",25,0,-54.41302094825575,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
105,False,"{'a': 0.45856943865051336, 'e': 0.5158906184818268}",20,8,-20.249352427436293,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.45373427424533663, 'e': 0.510451058526003}",25,10,-18.880877731042094,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
107,False,"{'a': 0.44890519913605903, 'e': 0.5050183490280657}",25,11,9.548326103360862,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.44408310914198124, 'e': 0.4995934977847283}",20,0,-22.000585942021807,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
109,False,"{'a': 0.43926888841997125, 'e': 0.49417749947246703}",25,0,-40.284142696487095,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
110,False,"{'a': 0.4344634092380031, 'e': 0.48877133539275286}",35,0,-47.915918947405935,"{0: 29, 1: 1, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.42966753175705147, 'e': 0.4833759732266823}",20,0,-69.8981043971656,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.42488210382138103, 'e': 0.47799236679905305}",35,17,-33.03516127119078,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
113,False,"{'a': 0.4201079607572642, 'e': 0.47262145585192167}",25,0,-9.412060107755323,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
114,False,"{'a': 0.4153459251801545, 'e': 0.4672641658276733}",25,0,-122.3145858088524,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
115,False,"{'a': 0.4105968068103359, 'e': 0.4619214076616273}",25,15,-46.238493451684,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.40586140229706313, 'e': 0.4565940775841955}",20,0,-15.641673393296342,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.4011404950512023, 'e': 0.4512830569326021}",20,5,-36.885100399612725,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.39643485508637294, 'e': 0.4459892119721691}",25,0,12.384205797299696,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
119,False,"{'a': 0.3917452388685897, 'e': 0.440713393727163}",25,8,8.043753925058919,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.3870723891743935, 'e': 0.4354564378211923}",25,6,-32.42388048066258,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.3824170349574581, 'e': 0.43021916432714}",25,4,9.396251314464449,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.3777798912236501, 'e': 0.42500237762660603}",20,13,-39.14386258634346,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.37316165891451736, 'e': 0.41980686627883174}",20,0,-18.61567106154382,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
124,False,"{'a': 0.36856302479917324, 'e': 0.41463340289906964}",20,8,-49.73532515606527,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.3639846613745394, 'e': 0.40948274404635654}",25,8,5.898922517600423,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.35942722677390443, 'e': 0.40435563012064224}",20,11,5.580551908071243,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.3548913646837508, 'e': 0.3992527852692194}",25,0,-13.981461901309844,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
128,False,"{'a': 0.35037770426879644, 'e': 0.39417491730239573}",20,14,11.887338040811176,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.34588686010519293, 'e': 0.3891227176183418}",25,14,-16.57534520835553,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.3414194321218176, 'e': 0.3840968611370445}",25,17,-7.1376541086767125,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.33697600554959095, 'e': 0.37909800624328954}",30,0,30.517250101451346,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.33255715087874743, 'e': 0.37412679473859056}",20,0,-13.970413376512344,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.32816342382398156, 'e': 0.369183851801979}",20,8,7.052974130572457,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.32379536529738856, 'e': 0.36426978595956183}",20,0,33.66326105471288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.3194535013891125, 'e': 0.35938518906275124}",25,10,-33.400103525335595,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.31513834335561247, 'e': 0.3545306362750637}",20,4,4.214873519309228,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.310850387615452, 'e': 0.34970668606738314}",25,7,-41.062508962173716,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
138,False,"{'a': 0.3065901157525129, 'e': 0.34491388022157665}",25,13,-43.47502047413819,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
139,False,"{'a': 0.30235799452653256, 'e': 0.34015274384234884}",20,11,15.861457419126424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
