trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.49735881514408875, 'e': 0.5595286670370991}",20,0,-15.400019010683009,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.49250850409839453, 'e': 0.5540720671106931}",20,12,-2.040191406296626,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.48765672583704833, 'e': 0.5486138165666786}",25,8,-38.86542334079198,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.4828044603416334, 'e': 0.5431550178843367}",20,0,-45.74188411014721,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.4779526780369442, 'e': 0.5376967627915614}",25,3,-43.326733815855306,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
102,False,"{'a': 0.47310233949986863, 'e': 0.5322401319373514}",20,0,-35.37325844992051,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.4682543951760795, 'e': 0.5267861945730886}",30,0,-172.84170727158968,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
104,False,"{'a': 0.4634097851046265, 'e': 0.5213360082427041}",30,3,-84.72319118949773,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 2}",1
105,False,"{'a': 0.45856943865051336, 'e': 0.5158906184818268}",20,1,-22.142680602579844,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.45373427424533663, 'e': 0.510451058526003}",35,26,15.594639741588399,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.44890519913605903, 'e': 0.5050183490280657}",20,0,-66.98136684688887,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
108,False,"{'a': 0.44408310914198124, 'e': 0.4995934977847283}",25,0,-97.1028459619062,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
109,False,"{'a': 0.43926888841997125, 'e': 0.49417749947246703}",35,9,-74.70584733812657,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
110,False,"{'a': 0.4344634092380031, 'e': 0.48877133539275286}",30,22,4.327882181195502,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.42966753175705147, 'e': 0.4833759732266823}",20,2,-33.90251182252748,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.42488210382138103, 'e': 0.47799236679905305}",30,0,-45.960890056511474,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
113,False,"{'a': 0.4201079607572642, 'e': 0.47262145585192167}",35,19,7.096672230720205,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.4153459251801545, 'e': 0.4672641658276733}",30,21,7.941486169382278,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.4105968068103359, 'e': 0.4619214076616273}",20,5,-22.75228951327292,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
116,False,"{'a': 0.40586140229706313, 'e': 0.4565940775841955}",20,7,-26.90698488791119,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.4011404950512023, 'e': 0.4512830569326021}",25,0,-41.52706985578437,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
118,False,"{'a': 0.39643485508637294, 'e': 0.4459892119721691}",20,1,-40.42188650221334,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.3917452388685897, 'e': 0.440713393727163}",25,7,-93.6652476410295,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 1}",1
120,False,"{'a': 0.3870723891743935, 'e': 0.4354564378211923}",30,0,4.575613221523666,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.3824170349574581, 'e': 0.43021916432714}",25,0,-21.59163931197896,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
122,False,"{'a': 0.3777798912236501, 'e': 0.42500237762660603}",20,5,12.453273450532478,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.37316165891451736, 'e': 0.41980686627883174}",25,7,20.11642407201259,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.36856302479917324, 'e': 0.41463340289906964}",25,0,-79.79226968443693,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
125,False,"{'a': 0.3639846613745394, 'e': 0.40948274404635654}",25,15,13.28069355893449,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.35942722677390443, 'e': 0.40435563012064224}",25,7,-31.411129034315223,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
127,False,"{'a': 0.3548913646837508, 'e': 0.3992527852692194}",20,0,22.2888079193578,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.35037770426879644, 'e': 0.39417491730239573}",25,7,-66.10209236134621,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
129,False,"{'a': 0.34588686010519293, 'e': 0.3891227176183418}",25,14,8.14797166313402,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.3414194321218176, 'e': 0.3840968611370445}",20,15,9.776168696239464,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.33697600554959095, 'e': 0.37909800624328954}",30,21,-27.366046685444964,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.33255715087874743, 'e': 0.37412679473859056}",25,15,18.349730954395753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
